职位,薪资,学历,工作经验,需要几人,工作地址,公司,公司类型,公司规模,公司行业,福利,职位描述,职位要求,职位链接
Java/Python软件工程师,0.5-2万/月,['大专'],['1年经验'],无要求,南京江北新区星火路,南京拾柴信息科技有限公司,民营公司,50-150人,"计算机软件,计算机服务(系统、数据服务、维修)",五险一金||交通补贴||通讯补贴||年终奖金||定期体检||周末双休,"1、     负责大数据类产品的系统设计和开发；
2、     负责数据后台服务的设计、开发、优化、测试等研发工作；
3、     和伙伴们一起研究技术；
4、     支撑前端开发，支撑数据工程师开发。
0、     扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识；
1、     具有高度的责任心，坚定的执行力，较强的沟通力，善于团队协作，主动思考，自我驱动力强；","1、     负责大数据类产品的系统设计和开发；
2、     负责数据后台服务的设计、开发、优化、测试等研发工作；
3、     和伙伴们一起研究技术；
4、     支撑前端开发，支撑数据工程师开发。
0、     扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识；
1、     具有高度的责任心，坚定的执行力，较强的沟通力，善于团队协作，主动思考，自我驱动力强；",https://jobs.51job.com/nanjing-pkq/120631358.html?s=01&t=0
Python开发工程师,1.5-3万/月,['本科'],['2年经验'],['招1人'],云龙山路100号信安大厦B座706,北京会畅教育科技有限公司,上市公司,50-150人,"计算机软件,教育/培训/院校",,"1、负责与音视频通信模块对接的应用逻辑开发工作；
2、负责流媒体模块的应用逻辑开发工作；
3、负责多媒体产品的后端应用开发工作；
","：
1、 精通Python程序设计，具备有良好的程序编码能力；",https://jobs.51job.com/nanjing-jyq/117423872.html?s=01&t=0
python研发,1-2万/月,['本科'],['2年经验'],['招1人'],雨花台区软件大道180号大数据产业基地1号楼,亚信科技PRD,民营公司,10000人以上,计算机软件,免费班车||弹性工作||五险一金||补充医疗保险||通讯补贴||定期体检||绩效奖金,"工作描述

开发语言采用

后端：

前端：
或者中移在线前后端开发框架

自动化底层：基于
的开源
方案


","：

、要求具有互联网自动化工具平台开发工作经验不少于
年

、要求具有主流开源工具（
、
中任意之一）二次开发经验
",https://jobs.51job.com/nanjing/111955719.html?s=01&t=0
算法工程师,,"['在校生/应届生', '本科']",无要求,无要求,,浩鲸云计算科技股份有限公司,民营公司,,计算机软件,,"工作职责：
1.、了解公司产品方向和需求，并基于阿里云平台进行算法开发与应用，解决工业行业的业务问题 ；
2.、基于工业现场、生产数据，通过深入挖掘，提高产品良品率、提升工业生产效率、降低生产成本；","工作职责：
1.、了解公司产品方向和需求，并基于阿里云平台进行算法开发与应用，解决工业行业的业务问题 ；
2.、基于工业现场、生产数据，通过深入挖掘，提高产品良品率、提升工业生产效率、降低生产成本；",https://jobs.51job.com/nanjing/120485280.html?s=01&t=0
云计算开发工程师（南京）,,['本科'],无要求,无要求,,南京富士通南大软件技术有限公司,合资,,计算机软件,,,,https://jobs.51job.com/nanjing/120493187.html?s=01&t=0
数据科学家（人工智能、机器学习、算法工程师、大数据平台架构师）（南京）,,['博士'],无要求,['招5人'],,亚信科技(中国)有限公司,民营公司,,计算机软件,,,":
1、2020、2021届应届毕业生，硕士及博士学历，数学、计算机、软件或相关专业；
2、有扎实的数学理论基础，熟悉机器学习原理与算法；",https://jobs.51job.com/nanjing/120493570.html?s=01&t=0
IT培生（java开发方向）,,['本科'],无要求,无要求,,苏宁易购集团,民营公司,,互联网/电子商务,,"岗位职责：
1、根据产品功能模块设计，编码实现各模块功能，并确保开发质量与进度；
2、负责苏宁后台核心产品功能设计和架构开发，包括但不限于基础技术、高性能分布式技术、搜索技术、电子商务、金融、物流等。","岗位职责：
1、根据产品功能模块设计，编码实现各模块功能，并确保开发质量与进度；
2、负责苏宁后台核心产品功能设计和架构开发，包括但不限于基础技术、高性能分布式技术、搜索技术、电子商务、金融、物流等。",https://jobs.51job.com/nanjing/120550870.html?s=01&t=0
AI工程师,,['硕士'],无要求,['招5人'],,焦点科技股份有限公司,上市公司,,计算机软件,,,,https://jobs.51job.com/nanjing/120580542.html?s=01&t=0
软件设计师,,['本科'],无要求,['招4人'],,中国人民解放军总参谋部第六十研究所,国企,,学术/科研,,,,https://jobs.51job.com/nanjing/120580759.html?s=01&t=0
软件工程师,,['本科'],无要求,无要求,,赛特斯信息科技股份有限公司,民营公司,,计算机软件,,,,https://jobs.51job.com/nanjing/120606817.html?s=01&t=0
软件高级工程师,0.8-1万/月,['本科'],['2年经验'],['招2人'],南京市玄武区铁匠营80号8号楼一楼102室 （地铁下马坊站）,富迪科技（南京）有限公司,外资（欧美）,50-150人,电子技术/半导体/集成电路,五险一金||补充医疗保险||员工旅游||绩效奖金||年终奖金||股票期权||弹性工作||定期体检,"职位描述：
1.  负责软件产品模块与组件的设计;
2.  负责软件接口的设计以及软件产品架构的持续改进；
3.  编写代码、调试运行程序，能够按照计划完成任务;
4.  维护软件产品，并对产品的质量负责;
",：,https://jobs.51job.com/nanjing-xwq/121107095.html?s=01&t=0
研发测试实习生,3-4.5千/月,"['在校生/应届生', '本科']",无要求,['招3人'],金鸡湖大道1355号国际科技园,创发信息科技（苏州）有限公司,外资（非欧美）,150-500人,"电子技术/半导体/集成电路,通信/电信/网络设备",五险一金||餐饮补贴||员工旅游||定期体检||社团活动||丰富团建||节假日福利,,,https://jobs.51job.com/suzhou-gyyq/114779139.html?s=01&t=0
爬虫开发系统工程师,2.5-4万/月,['本科'],['3-4年经验'],['招2人'],南京市雨花台区安德门大街57号楚翘城商务楼(地铁1号线天隆寺地铁站、S3号线铁心桥站）,南京茂毓通软件科技有限公司,民营公司,少于50人,"计算机软件,通信/电信/网络设备",五险一金||年终奖金||绩效奖金||餐饮补贴||交通补贴||员工旅游||定期体检||下午茶,,,https://jobs.51job.com/nanjing-yhtq/119669355.html?s=01&t=0
成像技术员,,['硕士'],无要求,['招2人'],,南京景瑞康分子医药科技有限公司,民营公司,,医疗/护理/卫生,,,,https://jobs.51job.com/nanjing/120437246.html?s=01&t=0
算法设计（J04）,,['硕士'],无要求,无要求,,中电莱斯信息系统有限公司,国企,,计算机软件,,,,https://jobs.51job.com/nanjing/120439528.html?s=01&t=0
统计程序员,,['硕士'],无要求,['招3人'],,南京德亨文生物科技有限公司,民营公司,,医疗/护理/卫生,,,,https://jobs.51job.com/nanjing/120439885.html?s=01&t=0
大数据分析师,,['本科'],无要求,['招5人'],,中通服咨询设计研究院有限公司,国企,,通信/电信/网络设备,,,,https://jobs.51job.com/nanjing/120440616.html?s=01&t=0
气象工程师,10-15万/年,['本科'],['1年经验'],['招2人'],南京鼓楼山西路金山大厦,南京乐飞航空技术有限公司,民营公司,少于50人,"计算机软件,航天/航空",五险一金||补充医疗保险||员工旅游||餐饮补贴||绩效奖金||年终奖金||定期体检||交通补贴,,,https://jobs.51job.com/nanjing-glq/121243103.html?s=01&t=0
系统运维工程师,0.8-1.5万/月,['本科'],['3-4年经验'],['招1人'],江东中路359号国睿大厦,联想中望系统服务有限公司（现越亮传奇科技股份有限公司）,合资,500-1000人,"计算机软件,通信/电信运营、增值服务",五险一金||员工旅游||餐饮补贴||通讯补贴||专业培训||定期体检,"岗位职责：
负责云平台系统运维管理工作。
",：,https://jobs.51job.com/nanjing-jyq/121366885.html?s=01&t=0
管理培训生,0.8-1.5万/月,"['在校生/应届生', '硕士']",无要求,['招2人'],河西大街66号（徐矿广场）写字楼一期17层,南京鼎融信息技术有限公司,民营公司,少于50人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",做五休二||五险一金||绩效奖金||全勤奖||节日福利||专业培训,研究开发人工智能专家系统前沿技术与产品，包括视频内容识别、图像内容识别、自然语言、语音识别等前沿技术。本工作岗位并非简单的软件设计编码，而是对高级人工智能技术的深入研究与应用。,"你具有刻苦钻研的精神和勇于挑战困难的勇气。

资质能力要求：
■计算机科学与技术专业或软件工程人工智能、模式识别研究方向研究生
■ 欢迎数学、物理等数理专业具有相当计算机软件与编程能力者和相关研究经验的在读研究生",https://jobs.51job.com/nanjing-jyq/121777864.html?s=01&t=0
软件工程师,0.8-1万/月,['本科'],['1年经验'],['招2人'],南京,江苏准成智能化信息系统有限公司,民营公司,50-150人,"计算机服务(系统、数据服务、维修),通信/电信/网络设备",五险一金||绩效奖金||专业培训||定期体检||员工旅游||年终奖金,"岗位职责:
1，理解和对接客户需求；
2，数据整理；
3，熟练掌握公司的技术平台；
4，负责在用户系统中部署实施公司的技术和解决方案；
5，系统维护和客户服务支持。

",":
1，计算机或者其他相关专业本科及以上学历；
3，熟练的编程能力, 主要使用 Python,  JavaScript；
4，了解常用数据科学工具, 比如:  scikit-learn, NumPy, TensorFlow；
5，具有良好的沟通能力与团队精神，有客户交流经验者优先考虑。
6，熟练掌握中文和英文",https://jobs.51job.com/nanjing/121282699.html?s=01&t=0
大数据工程师,1.2-1.6万/月,['大专'],['3-4年经验'],['招6人'],鼓楼区上海路215号,南京弘丞聚合信息技术有限公司,民营公司,少于50人,计算机软件,五险一金||员工旅游||餐饮补贴,"岗位职责：
负责数据接入整合、纵向数据贯通，同时能基于大数据应用，开展数据挖掘算法开发。
任职条件：
1、精通SQL语句，同时具备JAVA、Python等语言开发能力
2、 熟悉阿里大数据组件开发流程；","岗位职责：
负责数据接入整合、纵向数据贯通，同时能基于大数据应用，开展数据挖掘算法开发。
任职条件：
1、精通SQL语句，同时具备JAVA、Python等语言开发能力
2、 熟悉阿里大数据组件开发流程；",https://jobs.51job.com/nanjing/121783377.html?s=01&t=0
IC后端工程师,0.8-1万/月,['本科'],无要求,['招5人'],软件大道170-1号天溯科技园1幢603,上海矽昌微电子有限公司,民营公司,50-150人,计算机软件,五险一金||交通补贴||年终奖金||股票期权||餐饮补贴,,,https://jobs.51job.com/nanjing-yhtq/121789382.html?s=01&t=0
SEN001嵌入式软件工程师,10-20万/年,['本科'],['3-4年经验'],['招5人'],江苏省南京市江北新区星火路17号创智大厦B座10层101室,南京琻捷电子科技有限公司,民营公司,,电子技术/半导体/集成电路,五险一金||年终奖金||定期体检||员工旅游||餐饮补贴,"1.    负责产品相关模块的开发，验证和测试；
2.    负责产品底层驱动和固件开发；
3.    编写相关的开发文档。


1.    有强烈的责任感、良好的合作精神和团队协作能力；
2.    自我驱动型，认真负责的工作态度；
3.    计算机或电子信息专业，本科以上学历，3年以上相关经验；","1.    负责产品相关模块的开发，验证和测试；
2.    负责产品底层驱动和固件开发；
3.    编写相关的开发文档。


1.    有强烈的责任感、良好的合作精神和团队协作能力；
2.    自我驱动型，认真负责的工作态度；
3.    计算机或电子信息专业，本科以上学历，3年以上相关经验；",https://jobs.51job.com/nanjing-pkq/121799992.html?s=01&t=0
